date;image_name;apple;pear;lemon;orange;banana;pineapple
20/02/2020;IMG_20200518_165912.jpg;1;3;1;0;3;0
21/02/2020;IMG_20200518_165931_1.jpg;2;3;3;1;0;0
22/02/2020;IMG_20200518_165844.jpg;2;3;1;0;3;0
23/02/2020;IMG_20200518_165857.jpg;2;3;1;1;4;0
24/02/2020;IMG_20200518_165839.jpg;2;1;1;0;4;0
25/02/2020;IMG_20200518_165815.jpg;2;1;2;0;3;0
26/02/2020;IMG_20200518_165828.jpg;2;2;3;0;3;0
27/02/2020;IMG_20200518_165803.jpg;1;1;3;0;3;0
28/02/2020;IMG_20200518_165758.jpg;1;0;1;0;4;0
29/02/2020;IMG_20200518_165753_1.jpg;1;0;2;0;3;0
01/03/2020;IMG_20200518_165748.jpg;0;0;2;1;4;0
02/03/2020;IMG_20200518_165736.jpg;0;0;0;1;3;1
03/03/2020;IMG_20200518_165722.jpg;0;0;0;1;3;1
04/03/2020;IMG_20200518_165711.jpg;1;0;0;1;1;1
05/03/2020;IMG_20200518_165707.jpg;2;0;0;0;1;1
06/03/2020;IMG_20200518_165703.jpg;2;0;0;1;2;1
07/03/2020;IMG_20200518_165648.jpg;2;0;1;0;1;1
08/03/2020;IMG_20200518_165637.jpg;2;0;1;0;1;2
09/03/2020;IMG_20200518_165448.jpg;2;0;0;0;1;1
10/03/2020;IMG_20200518_165441.jpg;2;0;0;0;1;1
11/03/2020;IMG_20200518_165413.jpg;2;0;0;0;3;0
12/03/2020;IMG_20200518_165400.jpg;2;0;1;1;1;0
13/03/2020;IMG_20200518_165355.jpg;3;0;0;0;1;0
14/03/2020;IMG_20200518_165352.jpg;3;0;0;0;3;0
15/03/2020;IMG_20200518_165344.jpg;1;1;0;2;2;0
16/03/2020;IMG_20200518_165339.jpg;1;1;0;1;1;0
17/03/2020;IMG_20200518_165329.jpg;1;1;1;0;3;0
18/03/2020;IMG_20200518_165321.jpg;2;1;1;0;2;0
19/03/2020;IMG_20200518_165314.jpg;2;1;1;0;2;0
20/03/2020;IMG_20200518_165310.jpg;2;2;1;0;2;0
21/03/2020;IMG_20200518_165305.jpg;2;1;1;1;2;0
22/03/2020;IMG_20200518_165256.jpg;2;1;1;1;1;0
23/03/2020;IMG_20200518_165251.jpg;1;1;2;1;2;0
24/03/2020;IMG_20200518_165246.jpg;1;0;2;1;1;0
25/03/2020;IMG_20200518_165233.jpg;1;0;0;0;1;1
26/03/2020;IMG_20200518_165226.jpg;1;0;1;0;1;1
27/03/2020;IMG_20200518_165216.jpg;1;0;1;1;3;1
28/03/2020;IMG_20200518_165150.jpg;2;1;0;0;3;1
29/03/2020;IMG_20200518_164713.jpg;1;0;1;0;1;1
30/03/2020;IMG_20200518_164820.jpg;2;0;1;1;1;1
31/03/2020;IMG_20200518_164551.jpg;0;1;0;0;2;1
01/04/2020;IMG_20200518_164546.jpg;0;0;1;0;2;1
02/04/2020;IMG_20200518_104631.jpg;0;1;1;1;1;1
03/04/2020;IMG_20200518_104422.jpg;0;2;1;1;1;2
04/04/2020;IMG_20200518_104320.jpg;0;0;0;1;0;1
05/04/2020;IMG_20200518_104318.jpg;0;1;0;1;0;1
06/04/2020;IMG_20200519_163131.jpg;1;0;1;2;2;1
07/04/2020;IMG_20200519_163114.jpg;1;0;1;2;2;1
08/04/2020;IMG_20200519_163109.jpg;1;0;1;2;1;1
09/04/2020;IMG_20200519_163101.jpg;0;0;0;2;1;1
10/04/2020;IMG_20200519_163055.jpg;0;0;1;2;0;2
11/04/2020;IMG_20200519_163037.jpg;2;0;2;2;0;1
12/04/2020;IMG_20200519_163044.jpg;2;0;0;2;0;1
13/04/2020;IMG_20200519_163051.jpg;0;0;1;2;0;1
14/04/2020;IMG_20200519_162930.jpg;2;1;0;1;3;0
15/04/2020;IMG_20200519_162922.jpg;2;0;1;0;3;0
16/04/2020;IMG_20200519_162911.jpg;2;2;2;0;2;0
17/04/2020;IMG_20200519_162906.jpg;2;2;1;0;2;0
18/04/2020;IMG_20200519_162857.jpg;2;1;1;0;2;0
19/04/2020;IMG_20200519_162852.jpg;2;0;1;1;2;0
20/04/2020;IMG_20200519_162848.jpg;2;0;0;1;2;0
21/04/2020;IMG_20200519_162842.jpg;2;1;1;1;2;0
22/04/2020;IMG_20200519_162835.jpg;3;1;1;3;2;0
23/04/2020;IMG_20200519_162830.jpg;2;1;0;2;3;0
24/04/2020;IMG_20200519_162824.jpg;2;1;0;0;2;0
25/04/2020;IMG_20200519_162752.jpg;1;0;0;2;1;2
26/04/2020;IMG_20200519_162737.jpg;0;1;0;2;1;1
27/04/2020;IMG_20200519_162725.jpg;0;2;0;2;1;1
28/04/2020;IMG_20200519_162720.jpg;0;1;0;2;1;1
29/04/2020;IMG_20200519_162715.jpg;1;0;0;2;1;1
30/04/2020;IMG_20200519_162713.jpg;1;0;0;2;1;2
01/05/2020;IMG_20200519_162701.jpg;0;0;1;1;1;0
02/05/2020;IMG_20200519_162652.jpg;0;1;1;1;2;0
03/05/2020;IMG_20200519_162645.jpg;0;1;1;1;2;0
04/05/2020;IMG_20200519_162641.jpg;0;0;3;1;3;0
05/05/2020;IMG_20200519_162636.jpg;0;0;2;0;3;0
06/05/2020;IMG_20200519_162632.jpg;1;0;2;0;3;0
07/05/2020;IMG_20200519_162625_1.jpg;1;0;2;0;2;0
08/05/2020;IMG_20200519_162618.jpg;1;0;1;2;1;0
09/05/2020;IMG_20200519_162608.jpg;1;0;1;3;2;0
10/05/2020;IMG_20200519_162535.jpg;1;0;1;0;1;3
11/05/2020;IMG_20200519_162541.jpg;1;1;1;0;1;1
12/05/2020;IMG_20200519_162528.jpg;1;0;1;0;2;2
13/05/2020;IMG_20200519_162521.jpg;1;0;2;0;1;1
14/05/2020;IMG_20200519_162516.jpg;1;0;1;1;1;1
15/05/2020;IMG_20200519_162511.jpg;1;0;0;1;2;1
16/05/2020;IMG_20200519_162506.jpg;1;0;0;1;1;1
17/05/2020;IMG_20200519_162458.jpg;2;0;0;1;0;1
18/05/2020;IMG_20200519_162453.jpg;2;1;0;2;1;1
19/05/2020;IMG_20200519_162443.jpg;1;0;0;0;2;1
20/05/2020;IMG_20200519_162431.jpg;1;0;1;0;2;2
21/05/2020;IMG_20200519_162401.jpg;0;1;2;0;2;0
22/05/2020;IMG_20200519_162356.jpg;1;1;2;0;2;0
23/05/2020;IMG_20200519_162352.jpg;1;2;2;0;2;0
24/05/2020;IMG_20200519_162344.jpg;1;1;2;0;2;0
25/05/2020;IMG_20200519_162339.jpg;2;1;2;0;2;0
26/05/2020;IMG_20200519_162329.jpg;2;1;1;1;2;0
27/05/2020;IMG_20200519_162322.jpg;2;0;2;1;3;0
28/05/2020;IMG_20200519_162317.jpg;3;2;1;2;3;0
29/05/2020;IMG_20200519_162309.jpg;3;0;2;1;2;0
30/05/2020;IMG_20200519_162217.jpg;0;0;2;1;2;0
31/05/2020;IMG_20200519_162210.jpg;1;0;2;1;2;0
01/06/2020;IMG_20200519_162200.jpg;1;0;1;2;1;1
02/06/2020;IMG_20200519_162152.jpg;1;2;1;2;1;1
03/06/2020;IMG_20200519_162143.jpg;1;1;1;3;1;1
04/06/2020;IMG_20200519_162135.jpg;1;1;1;4;1;1
05/06/2020;IMG_20200519_162055.jpg;1;2;3;1;0;0
06/06/2020;IMG_20200519_162042.jpg;1;2;3;1;2;0
07/06/2020;IMG_20200519_162030.jpg;1;2;3;1;1;0
08/06/2020;IMG_20200519_162015.jpg;1;2;2;2;2;0
09/06/2020;IMG_20200519_162006.jpg;1;2;2;2;2;0
